Brand,Processor,Storage,RAM,OS,Display,Office,Warranty,Price
ASUS,Intel Core i5 Processor (11th Gen),1 TB HDD|256 GB SSD,8 GB DDR4 RAM,Windows 10 Operating System,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student 2019,1 Year Onsite Warranty,"₹49,990"
ASUS,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Touchscreen Display,,1 Year Onsite Warranty,"₹41,990"
Lenovo,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,,1 Year Onsite Warranty,"₹37,900"
Infinix,Intel Core i3 Processor (10th Gen),256 GB SSD,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,"₹29,990"
DELL,AMD Ryzen 3 Quad Core Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,Software: Win 11 + Office H&S 2021,,"₹34,990"
ASUS,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,,1 Year Onsite Warranty,"₹74,990"
acer,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year International Travelers Warranty (ITW),"₹42,990"
DELL,AMD Ryzen 3 Dual Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹40,190"
ASUS,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹42,990"
ASUS,AMD Ryzen 7 Octa Core Processor,1 TB SSD,16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Touchscreen Display,,1 Year Onsite Warranty,"₹1,13,990"
ASUS,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,,1 Year Onsite Warranty,"₹74,990"
ASUS,AMD Ryzen 7 Octa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹58,990"
HP,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,"₹63,990"
ASUS,Intel Core i7 Processor (11th Gen),512 GB SSD,16 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹56,990"
DELL,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹46,990"
Infinix,Intel Core i5 Processor (10th Gen),512 GB SSD,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,,1 year Onsite Warranty,"₹37,990"
HP,Intel Core i3 Processor (11th Gen),1 TB HDD|256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹40,990"
Infinix,Intel Celeron Quad Core Processor,128 GB SSD,4 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,"₹20,990"
acer,AMD Dual Core Processor,256 GB SSD,4 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,,1 Year International Travelers Warranty (ITW),"₹22,990"
HP,Intel Core i5 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹66,990"
