Brand,Processor_Brand,Processor_Type,Storage_SSD,Storage_HDD,RAM_GB,RAM_Type,OS,Display_Size,Display_Type,Office,Warranty,Price
ASUS,Intel,Core i9  - 12th Gen,1024,0,32,DDR5,64 bit Windows 11,16.0,Normal,Not Available,1 Year Onsite Warranty,241990
MSI,Intel,Core i5  - 12th Gen,512,0,16,DDR4,64 bit Windows 11,15.6,Normal,Not Available,2 Year Carry In Warranty,85990
Lenovo,Intel,Core i5  - 11th Gen,256,1024,16,DDR4,64 bit Windows 11,15.6,Normal,Office 2021,1 Year Onsite Warranty,68990
ASUS,Intel,Core i5  - 12th Gen,512,0,8,DDR5,Windows 11,15.6,Normal,Office Home & Student,1 Year Onsite Warranty,82990
acer,Intel,Core i5  - 10th Gen,512,0,8,DDR4,64 bit Windows 10,15.6,Normal,Not Available,1 Year International Travelers Warranty,53990
ASUS,AMD,Ryzen 7 Octa Core,1024,0,16,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,144990
ASUS,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,Windows 11,14.0,Normal,Not Available,1 Year Onsite Warranty,54990
HP,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,60990
ASUS,Intel,Pentium Quad Core,256,0,8,DDR4,Windows 11,14.0,Normal,Not Available,1 Year Onsite Warranty,28960
Lenovo,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,64 bit Windows 10,14.0,Normal,Office Home & Student 2021,2 Year Onsite Warranty,50990
Lenovo,AMD,Ryzen 5 Hexa Core,512,0,16,LPDDR4X,64 bit Windows 11,14.0,Touchscreen,Not Available,1 Year Onsite Warranty,62800
MSI,AMD,Ryzen 7 Octa Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite & Carry In Warranty,87990
DELL,AMD,Ryzen 7 Octa Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,59990
MSI,Intel,Hexa Core i5  - 10th Gen,512,0,16,DDR4,64 bit Windows 10,15.6,Normal,Not Available,2 Year Warranty For Gaming,84990
ASUS,AMD,Ryzen 7 Octa Core,512,0,8,DDR4,64 bit Windows 11,17.3,Normal,Not Available,1 Year Onsite Warranty,73990
DELL,AMD,Ryzen 3 Quad Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,43667
ASUS,Intel,Core i5  - 12th Gen,512,0,16,LPDDR5,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,89990
ASUS,Intel,Core i3  - 10th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,35990
