Brand,Processor_Brand,Processor_Type,Storage_SSD,Storage_HDD,RAM_GB,RAM_Type,OS,Display_Size,Display_Type,Office,Warranty,Price
ASUS,AMD,Ryzen 7 Octa Core,512,,16,DDR4,Windows 11,17.3,Normal,Not Available,1 Year Onsite Warranty,88990
MSI,Intel,Core i5  - 12th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite & Carry In Warranty,52990
HP,AMD,Ryzen 3 Dual Core,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,,27490
Lenovo,AMD,Ryzen 7 Hexa Core,512,,16,DDR4,Windows 11,15.6,Normal,Office,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,65990
ASUS,Intel,Celeron Dual Core,,,4,LPDDR4,Chrome,15.6,Normal,Not Available,1 Year Onsite Warranty,17990
Lenovo,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,2 Year Onsite Warranty,37248
ASUS,AMD,Ryzen 7 Octa Core,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,71990
HP,AMD,Ryzen 5 Hexa Core,512,,8,DDR4,Windows 11,14,Normal,Not Available,1 Year Onsite Warranty,51990
ASUS,Intel,Core i5  - 10th Gen,1024,,8,DDR4,Windows 11,15.6,Normal,Not Available,,60980
Lenovo,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,32890
ASUS,Intel,Core i3  - 11th Gen,512,,8,LPDDR4X,Windows 11,14,Touchscreen,Not Available,,49990
Infinix,Intel,Core i3  - 11th Gen,256,,8,LPDDR4X,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,30990
DELL,Intel,Core i5  - 12th Gen,512,,16,DDR4,Windows 11,14,Touchscreen,Office Home & Student 2021,,80990
ASUS,Intel,Core i5  - 12th Gen,512,,8,DDR5,Windows 11,15.6,Normal,Office Home & Student,1 Year Onsite Warranty,76990
ASUS,AMD,Ryzen 7 Octa Core,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,87990
HP,AMD,Ryzen 5 Hexa Core,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,60980
ASUS,Intel,Pentium Quad Core,256,,8,DDR4,Windows 11,14.1,Normal,Office Home & Student 2021,1 Year Onsite Warranty,28990
MSI,Intel,Core i5  - 12th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite & Carry In Warranty,52990
HP,Intel,Core i5  - 12th Gen,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,64990
DELL,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,43990
ASUS,Intel,Core i5  - 11th Gen,512,,16,LPDDR4X,Windows 11,14,Touchscreen,Office Home & Student 2021,1 Year Onsite Warranty,76990
HP,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,40990
ASUS,Intel,Core i5  - 10th Gen,1024,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,65990
DELL,Intel,Core i5  - 12th Gen,512,,8,DDR5,Windows 11,15.6,Normal,Not Available,,83990
APPLE,Apple,M2,256,,8,Unified Memory,Mac,13.6,Normal,Not Available,1 Year Limited Warranty,111990
ASUS,Intel,Core i3  - 10th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,32990
Infinix,Intel,Core i5  - 10th Gen,512,,8,LPDDR4X,Windows 11,14,Normal,Not Available,1 Year Onsite Warranty,37990
ASUS,AMD,Ryzen 7 Octa Core,512,,16,DDR4,Windows 11,17.3,Normal,Not Available,1 Year Onsite Warranty,88990
MSI,Intel,Core i7  - 12th Gen,1024,,16,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite & Carry In Warranty,135990
Lenovo,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,2 Year Onsite Warranty,37248
ASUS,Intel,Core i5  - 11th Gen,256,1024 ,16,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,64990
ASUS,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,45990
HP,AMD,Ryzen 3 Dual Core,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,,27490
ASUS,Intel,Core i3  - 10th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,32990
Infinix,Intel,Core i5  - 10th Gen,512,,16,LPDDR4X,Windows 11,14,Normal,Not Available,1 Year Onsite Warranty,38990
ASUS,Intel,Core i5  - 12th Gen,512,,8,DDR4,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,54990
MSI,Intel,Core i7  - 12th Gen,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Carry In Warranty,68490
Lenovo,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,32890
DELL,Intel,Core i5  - 12th Gen,256,1024 ,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,57990
Lenovo,AMD,Ryzen 7 Hexa Core,512,,16,DDR4,Windows 11,15.6,Normal,Office,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,65990
MSI,Intel,Core i7  - 12th Gen,1024,,16,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite & Carry In Warranty,135990
HP,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,40990
ASUS,AMD,Ryzen 5 Hexa Core,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,53990
APPLE,Apple,M2,512,,16,Unified Memory,Mac,13.6,Normal,Not Available,1 Year Limited Warranty,150990
realme,Intel,Core i5  - 11th Gen,512,,8,DDR4,Windows 10,14,Normal,Office Home & Student 2019,1 Year Domestic Warranty,59990
ASUS,Intel,Core i5  - 12th Gen,512,,8,DDR5,Windows 11,15.6,Normal,Office Home & Student,1 Year Onsite Warranty,76990
DELL,Intel,Core i5  - 12th Gen,512,,16,DDR5,Windows 11,13.3,Normal,Not Available,,79890
DELL,Intel,Pentium Silver,256,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,32000
ASUS,Intel,Core i5  - 10th Gen,512,,16,DDR4,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,49490
MSI,Intel,Core i5  - 12th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite & Carry In Warranty,52990
DELL,Intel,Core i5  - 12th Gen,512,,16,DDR4,Windows 11,14,Touchscreen,Office Home & Student 2021,,80990
DELL,Intel,Core i5  - 11th Gen,512,,8,DDR4,Windows 11,14,Touchscreen,Not Available,1 Year Onsite Warranty,72490
ASUS,Intel,Core i3  - 10th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,,33990
Lenovo,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,2 Year Onsite Warranty,37248
ASUS,Intel,Core i3  - 10th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,35990
ASUS,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,14,Normal,Not Available,1 Year Onsite Warranty,40990
HP,AMD,Ryzen 5 Hexa Core,512,,16,DDR4,Windows 11,14,Normal,Not Available,1 Year Onsite Warranty,62990
ASUS,Intel,Core i3  - 10th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,32990
HP,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,14,Touchscreen,Not Available,1 Year Onsite Warranty,56070
DELL,AMD,Ryzen 3 Quad Core,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,,42590
DELL,Intel,Core i7  - 11th Gen,512,,16,DDR4,Windows 10,14,Touchscreen,Office Home & Student 2019,1 Year Onsite Warranty,96890
Lenovo,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,32890
ASUS,Intel,Core i5  - 10th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,54990
ASUS,Intel,Core i5  - 11th Gen,256,1024 ,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,50890
APPLE,Apple,M2,256,,8,Unified Memory,Mac,13.6,Normal,Not Available,,111990
HP,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,40990
ASUS,Intel,Core i3  - 12th Gen,512,,8,DDR4,Windows 11,14,Touchscreen,Not Available,1 Year Onsite Warranty,45990
DELL,AMD,Ryzen 3 Dual Core,256,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,,36690
